"","x"
"1",0.000575799880169362
"2",0.00041104881247824
"3",0.000548863242691103
"4",0.000702267922450212
"5",0.00047092214664088
"6",0.000435446038440887
"7",0.000560997941281105
"8",0.000582709244614644
"9",0.000484168430100591
"10",0.000455273903359714
"11",0.00051206622835994
"12",0.000702710041105894
"13",0.000645537654862302
"14",0.000668288670777817
"15",0.000344308659102612
"16",0.0005956001834291
"17",0.00049984172971983
"18",0.000532940900244587
"19",0.000463329372521048
"20",0.000609079290500079
"21",0.00052038013433457
"22",0.000618504868007917
"23",0.000431463582536799
"24",0.000399217415449292
"25",0.000438705714894813
"26",0.000421459690399521
"27",0.000415764508759867
"28",0.000512201720605386
"29",0.000611153847391559
"30",0.000579879303122152
"31",0.00045039335965256
"32",0.000551773036281304
"33",0.000556974562390601
"34",0.000637199459013283
"35",0.00058006010838752
"36",0.000530613397603317
"37",0.000493715556832628
"38",0.000625406132693131
"39",0.000598418680140092
"40",0.000537374014415528
"41",0.000457999467282514
"42",0.000379670259927295
"43",0.000369002259381902
"44",0.000285736984834743
"45",0.000572545905597329
"46",0.00060821539708817
"47",0.000449011825296968
"48",0.000523296370563568
"49",0.00038906266567939
"50",0.000605030894511486
"51",0.000513829048700378
"52",0.000569080918584651
"53",0.000435666077411601
"54",0.000471394345880745
"55",0.000488810035962928
"56",0.000496713043856374
"57",0.000495428457862229
"58",0.000565601328987376
"59",0.000469844002810395
"60",0.00051457142664492
"61",0.000529735245672222
"62",0.000382504630385842
"63",0.000540710123350883
"64",0.000555719593350482
"65",0.000528044576161975
"66",0.000434425278372545
"67",0.000369800367167785
"68",0.000484621956609461
"69",0.000643361469834125
"70",0.000495788666845316
"71",0.000753053167216739
"72",0.000590773716894211
"73",0.000507283151690614
"74",0.000438140442621814
"75",0.000482417610634504
"76",0.000452464365595098
"77",0.000359558761421741
"78",0.000381127951201
"79",0.000347660479053797
"80",0.000508847023192979
"81",0.000649151163601276
"82",0.000720225584819761
"83",0.000639016348230375
"84",0.000578937236219885
"85",0.000779915311603374
"86",0.000638817453005934
"87",0.000865747123165499
"88",0.00097574538984387
"89",0.00058129714057162
"90",0.000926434629442422
"91",0.000533603376949052
"92",0.000592462135078543
"93",0.00063938060717372
"94",0.000728573896906116
"95",0.000484639386885432
"96",0.000673843774333199
"97",0.000637050239205042
